140	139	71
140	141	271
140	145	200
141	140	271
141	142	80
142	141	80
143	131	400
143	144	271
144	129	164
144	143	271
144	145	236
145	140	200
145	144	236
200	70	342
200	201	144
200	202	120
201	34	283
201	200	144
201	202	220
202	106	295
202	200	120
202	201	220
300	58	50
300	1015	0
1001	0	0
1002	0	0
1003	0	0
1004	0	0
1005	0	0
1006	0	0
1007	0	0
1008	0	0
1009	0	0
1010	0	0
1011	43	0
1012	0	0
1013	0	0
1014	0	0
1015	300	0
1016	0	0
1017	0	0
1018	0	0
1019	0	0
1020	0	0
1021	0	0
1022	0	0
1023	0	0
1024	0	0
1025	0	0
1026	0	0
1027	106	0
1028	0	0
1029	0	0
1030	0	0
1031	0	0
1032	0	0
1033	0	0
1034	0	0
1035	0	0
1036	0	0
1037	0	0
1038	0	0
1039	0	0
1040	0	0
1041	0	0
1042	0	0
1043	0	0
1044	0	0
1045	0	0
1046	0	0
1047	0	0
1048	0	0
1049	0	0
1050	0	0
1051	0	0
1052	0	0
1053	0	0
1054	0	0
1055	0	0
1056	0	0
1057	0	0
1058	0	0
1059	58	0
1060	15	0
1061	0	0
1062	0	0
1063	0	0
